nama_kos,harga,luas_kamar,jarak_ke_bca,tipe_kos,is_ac,is_km_dalam,is_water_heater,is_furnished,is_internet,is_listrik_free,is_parkir_mobil,is_mesin_cuci
Kost Premium Puan Kelapa Gading Jakarta Utara,2400000,24.0,0.4832386731568447,putri,1,0,1,1,1,1,1,1
Kost Gading Residence Tipe Standart Kelapa Gading Jakarta Utara,3300000,7.5,2.0721246741142187,campur,1,0,0,1,1,1,1,1
Kost Anaya Tipe A Kelapa Gading Jakarta Utara,2100000,6.0,1.7866090328267237,campur,1,1,1,1,1,1,1,1
Kost Gading Kendang Kelapa Gading,1900000,12.0,1.4641866115047395,putri,1,1,0,1,1,1,0,1
Kost Tiara House Single Room Ac Kelapa Gading Jakarta Utara,1400000,9.0,1.5742538333096658,campur,1,0,1,1,1,0,0,1
Kost Gading Mas Kelapa Gading Jakarta Utara,1350000,12.0,0.998061435016441,putra,1,0,0,0,1,0,0,1
Kost Kirana 2 Tipe A Kelapa Gading Jakarta Utara,900000,4.0,0.8261991957156211,campur,1,0,0,1,1,1,1,1
Kost Gading Surya Tipe G Kelapa Gading Jakarta Utara,950000,5.0,0.9849113253933292,campur,1,0,0,1,1,1,0,0
Kost Bu Elis Kelapa Gading Jakarta Utara,2300000,9.0,1.1602108729267302,putri,1,1,1,1,1,1,0,1
Kost White House Tipe A Kelapa Gading Jakarta Utara,1450000,7.5,0.2006162507459695,campur,1,0,0,1,1,1,0,1
Kost The Good Living Executive Kelapa Gading Jakarta Utara,1800000,6.0,1.875865122244679,campur,1,0,1,1,1,0,1,0
Kost Kelapa Puan Timur Tipe Smart Room Kelapa Gading Jakarta Utara,650000,5.0,1.0646564331835884,putri,1,0,0,1,1,1,0,1
Kost Maramba 11 Jakarta Kelapa Gading Jakarta Utara,850000,9.0,1.896291638580186,putri,1,0,0,1,1,1,1,0
Kost Boulevard Smart Room Kelapa Gading Jakarta Utara,900000,5.0,0.6094118782899618,campur,1,0,0,1,1,1,0,1
Kost Nali House Tipe C Kelapa Gading Jakarta Utara,1100000,6.0,1.570900507052266,putri,1,0,0,0,1,0,0,0
Kost Oemah Kelapa Gading Jakarta Utara,1600000,12.0,1.6075269273512074,campur,1,1,0,1,1,1,0,0
Kost Gading Residence Tipe Suite Kelapa Gading Jakarta Utara,4500000,30.0,2.0721246741142187,campur,1,1,1,1,1,0,1,1
Kost Yoshi Kelapa Gading Jakarta Utara,1400000,9.0,1.3392098960237568,putri,1,0,0,1,1,1,0,1
Kost Dede Kelapa Gading Jakarta Utara,1400000,9.0,0.3762399737133094,campur,1,0,0,1,1,1,1,1
Kost Pintu Merah Residence Tipe B Kelapa Gading Jakarta Utara,1400000,12.0,1.163822073210097,campur,1,0,0,1,1,0,0,0
Kost De Homey Kelapa Gading Tipe Single Room Kelapa Gading Jakarta Utara,1700000,12.0,1.2077177335922027,campur,1,0,0,1,1,0,0,0
Kost V 1 Sunter Standard Tanjung Priok Jakarta Utara,1600000,10.0,2.6911733256430392,campur,1,0,0,1,1,0,1,1
Kost The Kubik Dom Superior Doble Kelapa Gading Jakarta Utara,3500000,12.0,1.686726496435751,campur,1,1,1,1,1,0,1,1
Kost Gading Mas Tipe B1 Kelapa Gading Jakarta Utara,1600000,12.0,1.1405181993770153,campur,1,1,0,1,1,0,1,1
Kost Ibu Risdiana Tipe A Kelapa Gading Jakarta Utara,1350001,9.0,1.6225407171006625,putri,1,0,0,1,1,1,0,0
Kost Pulomas IC 3 Tipe A Pulo Gadung Jakarta Timur,1500000,6.0,2.622912805173516,putri,1,1,0,1,1,1,0,0
Kost Nali House Tipe B Kelapa Gading Jakarta Utara,1400000,9.0,1.570900507052266,putri,1,0,0,1,1,0,0,0
Kost Pelepah Indah Tipe E Kelapa Gading Jakarta Utara,1500000,7.8,0.0927841087329384,campur,1,0,0,1,1,1,0,1
